symbol,price,timestamp
bitcoin,88882.23,2024-11-12 13:56:41.001676
ethereum,3371.42,2024-11-12 13:56:41.001676
binance-coin,652.80,2024-11-12 13:56:41.001676
bitcoin,88882.06,2024-11-12 13:56:41.483791
bitcoin,88881.93,2024-11-12 13:56:41.803311
ethereum,3371.41,2024-11-12 13:56:41.803311
bitcoin,88881.94,2024-11-12 13:56:42.170191
bitcoin,88881.97,2024-11-12 13:56:42.971552
ethereum,3371.40,2024-11-12 13:56:42.971552
bitcoin,88881.93,2024-11-12 13:56:43.410636
bitcoin,88881.92,2024-11-12 13:56:43.883316
bitcoin,88881.93,2024-11-12 13:56:44.236087
ethereum,3371.37,2024-11-12 13:56:44.236087
usd-coin,0.999453,2024-11-12 13:56:44.685652
solana,223.69,2024-11-12 13:56:45.164787
bitcoin,88881.82,2024-11-12 13:56:45.964087
ethereum,3371.35,2024-11-12 13:56:45.964087
ethereum,3371.31,2024-11-12 13:56:47.060740
ethereum,3371.30,2024-11-12 13:56:47.564417
bitcoin,88881.84,2024-11-12 13:56:48.669099
ethereum,3371.29,2024-11-12 13:56:49.163568
ethereum,3371.27,2024-11-12 13:56:49.470486
bitcoin,88881.63,2024-11-12 13:56:49.867527
bitcoin,88881.67,2024-11-12 13:56:50.324585
ethereum,3371.28,2024-11-12 13:56:50.324585
ethereum,3371.31,2024-11-12 13:56:51.082154
ethereum,3371.28,2024-11-12 13:56:51.964701
solana,223.68,2024-11-12 13:56:51.964701
solana,223.69,2024-11-12 13:56:53.964769
bitcoin,88890.07,2024-11-12 13:56:55.940029
ethereum,3371.47,2024-11-12 13:56:55.940029
binance-coin,652.81,2024-11-12 13:56:55.940029
bitcoin,88890.10,2024-11-12 13:56:56.364302
ethereum,3371.52,2024-11-12 13:56:57.123795
binance-coin,653.25,2024-11-12 13:56:57.123795
bitcoin,88890.33,2024-11-12 13:56:57.965798
bitcoin,88890.28,2024-11-12 13:56:58.318291
bitcoin,88890.25,2024-11-12 13:56:59.564123
bitcoin,88890.24,2024-11-12 13:57:00.046555
bitcoin,88891.19,2024-11-12 13:57:00.526725
ethereum,3371.56,2024-11-12 13:57:00.526725
binance-coin,653.27,2024-11-12 13:57:00.526725
usd-coin,0.999454,2024-11-12 13:57:00.526725
bitcoin,88892.25,2024-11-12 13:57:01.676856
binance-coin,653.28,2024-11-12 13:57:01.676856
usd-coin,0.999242,2024-11-12 13:57:01.676856
ethereum,3371.55,2024-11-12 13:57:02.124244
bitcoin,88892.03,2024-11-12 13:57:03.085212
binance-coin,653.26,2024-11-12 13:57:03.085212
ethereum,3371.56,2024-11-12 13:57:03.276837
bitcoin,88892.11,2024-11-12 13:57:03.724659
binance-coin,653.27,2024-11-12 13:57:03.724659
ethereum,3371.61,2024-11-12 13:57:04.202663
solana,223.70,2024-11-12 13:57:04.202663
bitcoin,88891.90,2024-11-12 13:57:04.507425
solana,223.62,2024-11-12 13:57:04.507425
bitcoin,88892.03,2024-11-12 13:57:05.007242
ethereum,3371.68,2024-11-12 13:57:05.007242
ethereum,3371.67,2024-11-12 13:57:05.485366
bitcoin,88892.14,2024-11-12 13:57:06.178731
binance-coin,653.28,2024-11-12 13:57:06.178731
usd-coin,0.999241,2024-11-12 13:57:06.178731
bitcoin,88892.27,2024-11-12 13:57:07.846772
ethereum,3371.65,2024-11-12 13:57:09.163064
ethereum,3371.60,2024-11-12 13:57:09.965811
solana,223.63,2024-11-12 13:57:09.965811
bitcoin,88889.75,2024-11-12 13:57:10.444557
ethereum,3371.50,2024-11-12 13:57:10.444557
binance-coin,653.27,2024-11-12 13:57:10.444557
solana,223.62,2024-11-12 13:57:10.444557
usd-coin,0.999237,2024-11-12 13:57:10.444557
ethereum,3371.52,2024-11-12 13:57:11.209867
solana,223.63,2024-11-12 13:57:11.209867
ethereum,3371.54,2024-11-12 13:57:11.611757
ethereum,3371.48,2024-11-12 13:57:12.047355
solana,223.62,2024-11-12 13:57:12.047355
bitcoin,88889.76,2024-11-12 13:57:12.458617
bitcoin,88889.66,2024-11-12 13:57:12.886923
ethereum,3371.44,2024-11-12 13:57:12.886923
bitcoin,88889.63,2024-11-12 13:57:13.285430
binance-coin,653.26,2024-11-12 13:57:13.285430
usd-coin,0.999240,2024-11-12 13:57:15.883961
ethereum,3371.43,2024-11-12 13:57:16.203641
solana,223.61,2024-11-12 13:57:16.203641
bitcoin,88889.60,2024-11-12 13:57:18.765486
ethereum,3371.42,2024-11-12 13:57:18.765486
ethereum,3371.43,2024-11-12 13:57:19.088414
binance-coin,653.25,2024-11-12 13:57:19.088414
bitcoin,88889.43,2024-11-12 13:57:19.567013
ethereum,3371.35,2024-11-12 13:57:19.567013
solana,223.60,2024-11-12 13:57:19.567013
ethereum,3371.36,2024-11-12 13:57:19.885651
solana,223.61,2024-11-12 13:57:19.885651
bitcoin,88889.45,2024-11-12 13:57:20.367477
ethereum,3371.35,2024-11-12 13:57:20.367477
ethereum,3371.37,2024-11-12 13:57:21.167862
